Date et Heure,Température (°C),Humidité (%),Statut,Alertes,Risque de Panne (%),Statut Moteur,Détails
2025-04-21 02:50:20,22.7,76.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:50:27,22.8,76.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:50:37,22.7,76.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:50:47,22.7,76.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:50:57,22.7,75.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:07,22.7,75.5,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:17,22.6,75.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:27,22.6,75.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:37,22.7,75.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:48,22.6,75.3,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:51:58,22.6,75.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:52:08,22.6,75.2,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:52:18,22.6,74.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:52:35,22.6,74.9,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:52:38,22.6,74.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:52:48,22.6,74.8,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:53:51,22.6,74.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:53:58,22.5,74.4,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:08,22.6,74.0,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:18,22.5,74.1,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:28,22.5,73.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:38,22.6,73.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:48,22.5,73.7,normal,NORMAL,0.0,OK,Normal
2025-04-21 02:54:58,22.5,73.6,normal,NORMAL,0.0,OK,Normal
